id,name,region,category,google_rating,review_count,interest_tags,distance_km,interest_match,rating_norm,review_norm,distance_efficiency,xai_score
53,Himeji Castle,Kansai,castle,4.6,47000,castle|history|heritage,21.0,0.83,0.9200,0.9305,0.1923,0.8324
54,Miyajima Itsukushima Shrine,Chugoku,shrine,4.6,38000,shrine|coast|history,25.0,0.86,0.9200,0.9121,0.1667,0.8303
8,Akihabara Electric Town,Tokyo,shopping,4.3,26000,anime|shopping|culture,2.5,0.77,0.8600,0.8793,0.6667,0.8284
10,Imperial Palace East Gardens,Tokyo,garden,4.3,17000,history|garden|walk,1.5,0.74,0.8600,0.8425,0.7692,0.8217
33,Kokusai Dori,Okinawa,shopping,4.0,19000,food|shopping|city_walk,1.0,0.79,0.8000,0.8521,0.8333,0.8170
25,Shinsekai,Osaka,district,4.1,22000,food|retro|city_walk,1.9,0.78,0.8200,0.8648,0.7246,0.8159
30,Namba Yasaka Shrine,Osaka,shrine,4.4,9000,shrine|photo|culture,1.2,0.73,0.8800,0.7875,0.8065,0.8149
55,Hiroshima Peace Memorial Museum,Chugoku,museum,4.6,26000,history|museum|education,23.0,0.82,0.9200,0.8793,0.1786,0.8136
31,Shuri Castle Park,Okinawa,castle,4.2,21000,history|castle|culture,5.6,0.83,0.8400,0.8608,0.4717,0.8074
20,Kyoto Railway Museum,Kyoto,museum,4.4,15000,museum|family|indoor,2.9,0.68,0.8800,0.8317,0.6329,0.8008
19,Ryoan-ji,Kyoto,temple,4.4,11000,temple|garden|quiet,4.8,0.75,0.8800,0.8049,0.5102,0.7945
44,Shiroi Koibito Park,Hokkaido,theme_park,4.2,18000,dessert|family|indoor,5.5,0.78,0.8400,0.8475,0.4762,0.7939
42,Sapporo TV Tower,Hokkaido,landmark,4.0,15000,city_view|landmark|night_view,0.8,0.69,0.8000,0.8317,0.8621,0.7937
45,Otaru Canal,Hokkaido,landmark,4.3,31000,canal|photo|history,18.5,0.80,0.8600,0.8945,0.2128,0.7936
18,Philosopher's Path,Kyoto,walk,4.3,12000,nature|walk|seasonal,3.3,0.72,0.8600,0.8124,0.6024,0.7920
36,Blue Cave,Okinawa,nature,4.5,8000,diving|nature|coast,14.5,0.86,0.9000,0.7773,0.2564,0.7908
47,Noboribetsu Jigokudani,Hokkaido,nature,4.4,19000,nature|hot_spring|hiking,29.0,0.84,0.8800,0.8521,0.1471,0.7903
28,Sumiyoshi Taisha,Osaka,shrine,4.4,13000,shrine|history|quiet,5.0,0.70,0.8800,0.8193,0.5000,0.7878
48,Asahiyama Zoo,Hokkaido,zoo,4.4,23000,zoo|family|nature,35.0,0.81,0.8800,0.8687,0.1250,0.7871
35,Manzamo,Okinawa,nature,4.3,16000,nature|coast|photo,12.0,0.81,0.8600,0.8373,0.2941,0.7866
29,Tennoji Park,Osaka,park,4.2,11000,nature|family|walk,2.4,0.69,0.8400,0.8049,0.6757,0.7830
34,American Village,Okinawa,district,4.2,24000,shopping|night_view|photo,8.4,0.74,0.8400,0.8723,0.3731,0.7830
50,Mount Moiwa Ropeway,Hokkaido,landmark,4.3,12000,city_view|night_view|nature,6.3,0.75,0.8600,0.8124,0.4425,0.7820
37,Naminoue Shrine,Okinawa,shrine,4.2,9000,shrine|coast|culture,2.2,0.70,0.8400,0.7875,0.6944,0.7817
46,Farm Tomita,Hokkaido,nature,4.4,13000,flower|nature|seasonal,32.0,0.82,0.8800,0.8193,0.1351,0.7753
43,Moerenuma Park,Hokkaido,park,4.4,9000,nature|art|family,7.2,0.73,0.8800,0.7875,0.4098,0.7752
38,Okinawa World,Okinawa,culture,4.1,15000,culture|cave|family,10.2,0.77,0.8200,0.8317,0.3289,0.7644
40,Sefa-utaki,Okinawa,heritage,4.3,7000,history|nature|heritage,13.6,0.76,0.8600,0.7658,0.2688,0.7526
49,Historic Village of Hokkaido,Hokkaido,museum,4.3,6000,history|museum|culture,9.0,0.71,0.8600,0.7525,0.3571,0.7475
39,Tamaudun,Okinawa,heritage,4.0,5000,history|culture|heritage,4.6,0.66,0.8000,0.7367,0.5208,0.7251
