id,name,region,category,google_rating,review_count,interest_tags,station_anchor,distance_to_station_km,rating_norm,review_norm,station_distance_efficiency,static_score,image_url,lat,lng,source_id,google_name_matched
Q998239,兼六園,石川縣,回游式庭园,4.4,36947,回游式庭园,Kanazawa Station,2.2,0.8800,0.8817,0.6931,0.8526,http://commons.wikimedia.org/wiki/Special:FilePath/131109%20Kenrokuen%20Kanazawa%20Ishikawa%20pref%20Japan00s3.jpg,36.5619444,136.6625000,Q998239,兼六園
Q1201304,京都塔,京都府,觀光塔,4.2,17745,觀光塔,Kyoto Station,0.2,0.8400,0.8203,0.9630,0.8515,http://commons.wikimedia.org/wiki/Special:FilePath/Kyoto%20Tower%202023-12%20ac%20%281%29.jpg,34.9875000,135.7591667,Q1201304,ニデック京都タワー
Q131314431,森ビル デジタルアート ミュージアム：エプソン チームラボボーダレス,東京都,美術館,4.6,27775,美術館,Tokyo Station,3.3,0.9200,0.8578,0.6033,0.8507,http://commons.wikimedia.org/wiki/Special:FilePath/TeamLab%20Borderless%20Azabudai%20Hills.jpg,35.6608823,139.7406572,Q131314431,森ビル デジタルアート ミュージアム：エプソン チームラボボーダレス
Q846106,鐵道博物館,埼玉縣,公司博物館,4.5,18190,公司博物館,Omiya Station,1.7,0.9000,0.8223,0.7510,0.8505,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Railway%20Museum%20Park%20Zone%2020071014%20%281%29.jpg,35.9205556,139.6183333,Q846106,鉄道博物館
Q150118,大阪城公園,大阪府,歷史公園,4.4,50328,歷史公園,Osaka Station,3.2,0.8800,0.9077,0.6088,0.8490,http://commons.wikimedia.org/wiki/Special:FilePath/Osaka%20Castle%2001bs3200.jpg,34.6873780,135.5258440,Q150118,大阪城公園
Q776863,新宿御苑,東京都,御苑,4.6,44718,御苑,Tokyo Station,5.1,0.9200,0.8977,0.4930,0.8482,http://commons.wikimedia.org/wiki/Special:FilePath/Shinjuku%20Gyoen%20National%20Garden%20-%20sakura%203.JPG,35.6871694,139.7106444,Q776863,新宿御苑
Q2576732,縮景園,廣島縣,大名庭园,4.5,8504,大名庭园,Hiroshima Station,0.8,0.9000,0.7586,0.8658,0.8454,http://commons.wikimedia.org/wiki/Special:FilePath/Hiroshima%20Shukkei-en%20Pond.jpg,34.4002778,132.4675000,Q2576732,縮景園
Q11275091,睡魔之家WARASSE,青森縣,山車会館,4.3,9775,山車会館,Aomori Station,0.2,0.8600,0.7703,0.9695,0.8450,http://commons.wikimedia.org/wiki/Special:FilePath/Nebuta%20Museum%20Wa%20Rasse%2020200621.jpg,40.8295556,140.7359444,Q11275091,ねぶたの家 ワ･ラッセ
Q287165,明治神宫,東京都,神宮,4.6,49925,神宮,Tokyo Station,6.2,0.9200,0.9070,0.4479,0.8446,http://commons.wikimedia.org/wiki/Special:FilePath/Courtyard%20of%20Meiji%20Shrine%2020190717.jpg,35.6761111,139.6991667,Q287165,明治神宮
Q4778670,青森大橋,青森縣,斜張橋,4.3,9795,斜張橋,Aomori Station,0.3,0.8600,0.7704,0.9510,0.8423,http://commons.wikimedia.org/wiki/Special:FilePath/Aomori%20Bay%20Bridge%20at%20night.jpg,40.8302778,140.7366667,Q4778670,ねぶたの家 ワ･ラッセ
Q1377689,後樂園,岡山縣,大名庭园,4.4,16407,大名庭园,Okayama Station,1.5,0.8800,0.8137,0.7681,0.8400,http://commons.wikimedia.org/wiki/Special:FilePath/250505%20Korakuen%20Okayama%20Japan06s3.jpg,34.6676639,133.9350556,Q1377689,岡山後楽園
Q1071520,栗林公園,香川縣,回游式庭园,4.5,15557,回游式庭园,Takamatsu Station,2.3,0.9000,0.8092,0.6813,0.8354,http://commons.wikimedia.org/wiki/Special:FilePath/Ritsurin.JPG,34.3295833,134.0438889,Q1071520,栗林公園
Q74940,国立科学博物馆,東京都,國立博物館,4.5,28525,國立博物館,Tokyo Station,4.0,0.9000,0.8601,0.5557,0.8344,http://commons.wikimedia.org/wiki/Special:FilePath/NMNC01s3200.jpg,35.7163190,139.7765440,Q74940,国立科学博物館
Q11456932,富岩運河環水公園,富山縣,城市公園,4.4,8733,城市公園,Toyama Station,0.9,0.8800,0.7608,0.8498,0.8338,http://commons.wikimedia.org/wiki/Special:FilePath/Fugan-unga%20Kansui%20Park%20013.jpg,36.7094444,137.2133333,Q11456932,富岩運河環水公園
Q3031841,稻佐山,長崎縣,山,4.5,12348,山,Nagasaki Station,2.0,0.9000,0.7899,0.7160,0.8338,http://commons.wikimedia.org/wiki/Special:FilePath/Mt.Inasa%202010.jpg,32.7527000,129.8495000,Q3031841,稲佐山山頂展望台
Q653433,東京國立博物館,東京都,國立博物館,4.5,30155,國立博物館,Tokyo Station,4.3,0.9000,0.8647,0.5391,0.8335,http://commons.wikimedia.org/wiki/Special:FilePath/Tokyo%20National%20Museum%2C%20Honkan%202010.jpg,35.7188889,139.7763889,Q653433,東京国立博物館
Q6631907,皇居東御苑,東京都,御苑,4.4,9912,御苑,Tokyo Station,1.1,0.8800,0.7714,0.8177,0.8327,http://commons.wikimedia.org/wiki/Special:FilePath/Imperial%20Palace%20East%20Garden%20Japan%201989%20air.jpg,35.6875000,139.7575000,Q6631907,皇居東御苑
Q843997,東京迪士尼樂園,千葉縣,主題公園,4.6,123034,主題公園,Chiba Station,21.1,0.9200,0.9826,0.1913,0.8326,http://commons.wikimedia.org/wiki/Special:FilePath/Tokyo%20Disneyland%20Cinderella%20Castle%202023-07-02.jpg,35.6327778,139.8805556,Q843997,東京ディズニーランド
Q1055944,札幌啤酒博物館,北海道,啤酒博物館,4.3,17453,啤酒博物館,Sapporo Station,1.5,0.8600,0.8189,0.7685,0.8319,http://commons.wikimedia.org/wiki/Special:FilePath/Sapporo%20Beer%20Museum.JPG,43.0716667,141.3688889,Q1055944,サッポロビール博物館
Q137773108,チームラボ バイオヴォルテックス 京都,京都府,現代美術館,4.6,3085,現代美術館,Kyoto Station,0.6,0.9200,0.6736,0.8918,0.8295,,34.9837070,135.7649480,Q137773108,チームラボ バイオヴォルテックス 京都 - 大成建設
Q605492,東京迪士尼度假區,千葉縣,主題樂園,4.6,108322,主題樂園,Chiba Station,20.9,0.9200,0.9719,0.1930,0.8291,http://commons.wikimedia.org/wiki/Special:FilePath/A8%20Tokyo%20Disneyland.jpg,35.6297222,139.8827778,Q605492,東京ディズニーリゾート
Q11415016,名古屋市科學館,愛知縣,科學博物館,4.4,13290,科學博物館,Nagoya Station,1.8,0.8800,0.7960,0.7368,0.8291,http://commons.wikimedia.org/wiki/Special:FilePath/Low%20frequency%20antennas%20at%20Nagoya%20City%20Science%20Museum.jpg,35.1647722,136.8996667,Q11415016,ＦＵＪＩなごや科学館
Q11257362,安藤百福發明紀念館,神奈川縣,公司博物館,4.3,19754,公司博物館,Yokohama Station,1.9,0.8600,0.8293,0.7259,0.8291,http://commons.wikimedia.org/wiki/Special:FilePath/Cupnoodles-Museum-Yokohama.jpg,35.4554720,139.6388610,Q11257362,カップヌードルミュージアム 横浜
Q1191885,海遊館,大阪府,水族館,4.5,57755,水族館,Osaka Station,8.1,0.9000,0.9192,0.3809,0.8288,http://commons.wikimedia.org/wiki/Special:FilePath/Osaka%20Kaiyukan01s3872.jpg,34.6544722,135.4288889,Q1191885,海遊館
Q11375621,京都水族館,京都府,水族館,4.2,14230,水族館,Kyoto Station,1.0,0.8400,0.8018,0.8281,0.8248,http://commons.wikimedia.org/wiki/Special:FilePath/Kyoto%20Aquarium%20in%202013-5-2%20No%2C27.JPG,34.9875560,135.7476110,Q11375621,京都水族館
Q1099077,长崎原爆资料馆,長崎縣,軍事博物館,4.5,10693,軍事博物館,Nagasaki Station,2.4,0.9000,0.7778,0.6796,0.8242,http://commons.wikimedia.org/wiki/Special:FilePath/%E9%95%B7%E5%B4%8E%E5%8E%9F%E7%88%86%E8%B3%87%E6%96%99%E9%A4%A8%20-%20panoramio.jpg,32.7726528,129.8645139,Q1099077,長崎原爆資料館
Q133628,國立長崎原爆死歿者追悼和平祈念館,長崎縣,和平博物館,4.5,10640,和平博物館,Nagasaki Station,2.4,0.9000,0.7774,0.6793,0.8240,http://commons.wikimedia.org/wiki/Special:FilePath/Nagasaki%20peace%20memorial%20hall.jpg,32.7727778,129.8650000,Q133628,長崎原爆資料館
Q116281743,SHIBUYA SKY,東京都,觀景台,4.6,24423,觀景台,Tokyo Station,6.4,0.9200,0.8470,0.4394,0.8224,http://commons.wikimedia.org/wiki/Special:FilePath/Shibuya%20Scramble%20Square%20-%20SHIBUYA%20SKY%2012.jpg,35.6584620,139.7022640,Q116281743,SHIBUYA SKY
Q798766,神戶港塔,兵庫縣,觀光塔,4.2,11324,觀光塔,Kobe Station,0.9,0.8400,0.7826,0.8545,0.8221,http://commons.wikimedia.org/wiki/Special:FilePath/Kobe%20port%20tower12s3200.jpg,34.6825000,135.1866667,Q798766,神戸ポートタワー
Q913808,普利司通美術館,東京都,美術館,4.5,3048,美術館,Tokyo Station,0.5,0.9000,0.6726,0.9079,0.8216,http://commons.wikimedia.org/wiki/Special:FilePath/Artizon%20Museum%20lobby%20view%20201912.jpg,35.6788889,139.7719444,Q913808,アーティゾン美術館
Q41977,廣島城,廣島縣,日式城堡,4.2,17673,日式城堡,Hiroshima Station,1.6,0.8400,0.8199,0.7577,0.8206,http://commons.wikimedia.org/wiki/Special:FilePath/HiroshimaCastle.jpg,34.4027500,132.4590278,Q41977,広島城
Q1202341,東京迪士尼海洋,千葉縣,主題公園,4.5,105702,主題公園,Chiba Station,20.4,0.9000,0.9699,0.1968,0.8190,http://commons.wikimedia.org/wiki/Special:FilePath/Tokyo%20Disney%20Sea%20Mountain.jpg,35.6266670,139.8880560,Q1202341,東京ディズニーシー
Q118213997,ハルカス300,大阪府,觀景台,4.6,22086,觀景台,Osaka Station,6.5,0.9200,0.8386,0.4352,0.8188,http://commons.wikimedia.org/wiki/Special:FilePath/Abeno%20Harukas%20SKY%20GARDEN%20300.jpg,34.6459798,135.5135227,Q118213997,ハルカス300（展望台）
Q249139,增上寺,東京都,佛寺,4.5,12270,佛寺,Tokyo Station,3.1,0.9000,0.7893,0.6147,0.8185,http://commons.wikimedia.org/wiki/Special:FilePath/Zojoji%20frontal%20steps.jpg,35.6574790,139.7483760,Q249139,増上寺
Q3815458,三菱一號館美術館,東京都,美術館,4.4,3703,美術館,Tokyo Station,0.5,0.8800,0.6889,0.9141,0.8182,http://commons.wikimedia.org/wiki/Special:FilePath/Mitsubishi%20Ichigokan%20Museum.JPG,35.6783550,139.7632550,Q3815458,三菱一号館美術館
Q1033333,滨离宫恩赐庭园,東京都,日本庭園,4.4,12257,日本庭園,Tokyo Station,2.4,0.8800,0.7892,0.6755,0.8176,http://commons.wikimedia.org/wiki/Special:FilePath/Hamarikyu%20Garden%20as%20seen%20from%20Shiodome.jpg,35.6600000,139.7620000,Q1033333,浜離宮恩賜庭園
Q5372158,山下公園,神奈川縣,風致公園,4.3,24710,風致公園,Yokohama Station,3.3,0.8600,0.8480,0.5995,0.8167,http://commons.wikimedia.org/wiki/Special:FilePath/Parque%20Yamashita%202.JPG,35.4457780,139.6497500,Q5372158,山下公園
Q18339280,北海道大學綜合博物館,北海道,大學博物館,4.5,3235,大學博物館,Sapporo Station,0.8,0.9000,0.6776,0.8563,0.8156,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Hokkaido%20University%20Museum.png,43.0722222,141.3416667,Q18339280,北海道大学総合博物館
Q1362638,國立新美術館,東京都,國立博物館,4.4,21569,國立博物館,Tokyo Station,4.1,0.8800,0.8366,0.5503,0.8154,http://commons.wikimedia.org/wiki/Special:FilePath/2018%20National%20Art%20Center%2C%20Tokyo%202.jpg,35.6652800,139.7263400,Q1362638,国立新美術館
Q50375431,大阪中之島美術館,大阪府,美術館,4.4,5738,美術館,Osaka Station,1.2,0.8800,0.7256,0.8071,0.8150,http://commons.wikimedia.org/wiki/Special:FilePath/Nakanoshima%20Museum%20of%20Art%20Osaka.jpg,34.6923889,135.4914722,Q50375431,大阪中之島美術館
Q751156,HEP,大阪府,複合商業設施,4.0,12282,複合商業設施,Osaka Station,0.4,0.8000,0.7894,0.9178,0.8140,http://commons.wikimedia.org/wiki/Special:FilePath/TOHO%20CINEMAS%20Umeda%20in%20201409.JPG,34.7040028,135.5004466,Q751156,HEP FIVE
Q138666211,HEP FIVE,大阪府,購物中心,4.0,12282,購物中心,Osaka Station,0.5,0.8000,0.7894,0.9169,0.8138,http://commons.wikimedia.org/wiki/Special:FilePath/HEP%20FIVE.jpg,34.7040826,135.5004685,Q138666211,HEP FIVE
Q125084811,博多駅2号歩行者連絡橋,福岡縣,步道天桥,4.2,5545,步道天桥,Hakata Station,0.3,0.8400,0.7227,0.9382,0.8137,,33.5876111,130.4189722,Q125084811,博多駅
Q162722,上野动物园,東京都,動物園,4.2,39706,動物園,Tokyo Station,4.1,0.8400,0.8878,0.5522,0.8136,http://commons.wikimedia.org/wiki/Special:FilePath/Ueno-zoo.jpg,35.7175000,139.7713889,Q162722,恩賜上野動物園
Q105438533,橫濱鋼彈工廠,神奈川縣,主題公園,4.5,11488,主題公園,Yokohama Station,3.6,0.9000,0.7838,0.5832,0.8118,http://commons.wikimedia.org/wiki/Special:FilePath/GUNDAM%20FACTORY%20YOKOHAMA%202023.jpg,35.4467110,139.6540782,Q105438533,GUNDAM FACTORY YOKOHAMA
Q147286,京都國立博物館,京都府,國立博物館,4.3,8109,國立博物館,Kyoto Station,1.4,0.8600,0.7546,0.7830,0.8116,http://commons.wikimedia.org/wiki/Special:FilePath/Kyoto%20National%20Museum%202009.jpg,34.9899930,135.7731210,Q147286,京都国立博物館
Q11538444,梅小路公園,京都府,城市公園,4.2,10140,城市公園,Kyoto Station,1.2,0.8400,0.7733,0.8052,0.8115,http://commons.wikimedia.org/wiki/Special:FilePath/250503%20Suzaku-no-niwa%20in%20Umekoji%20Park%20Kyoto%20Japan01s3.jpg,34.9865280,135.7455560,Q11538444,梅小路公園
Q1191042,江戶東京博物館,東京都,博物馆建筑,4.4,13186,博物馆建筑,Tokyo Station,3.1,0.8800,0.7954,0.6161,0.8108,http://commons.wikimedia.org/wiki/Special:FilePath/Edo-Tokyo%20Museum.jpg,35.6963890,139.7960830,Q1191042,江戸東京博物館
Q6424313,神戶動物王國,兵庫縣,植物園,4.5,16784,植物園,Kobe Station,5.0,0.9000,0.8156,0.5008,0.8106,http://commons.wikimedia.org/wiki/Special:FilePath/Kobe-kacyoen4333.JPG,34.6541667,135.2230556,Q6424313,神戸どうぶつ王国
Q5507745,福州園,沖繩縣,中國園林,4.4,3288,中國園林,Naha Bus Terminal,0.7,0.8800,0.6789,0.8788,0.8095,http://commons.wikimedia.org/wiki/Special:FilePath/Fukushuen%20Naha%20Okinawa01s3.jpg,26.2179700,127.6759430,Q5507745,福州園
Q1362629,日本國立西洋美術館,東京都,博物馆建筑,4.5,11672,博物馆建筑,Tokyo Station,3.9,0.9000,0.7851,0.5631,0.8093,http://commons.wikimedia.org/wiki/Special:FilePath/National%20museum%20of%20western%20art05s3200.jpg,35.7153567,139.7758498,Q1362629,国立西洋美術館
Q907052,首里城,沖繩縣,御城,4.2,33017,御城,Naha Bus Terminal,4.0,0.8400,0.8723,0.5525,0.8082,http://commons.wikimedia.org/wiki/Special:FilePath/Naha%20Shuri%20Castle51s3s4200.jpg,26.2170306,127.7194750,Q907052,首里城公園
Q115265693,東京ステーションギャラリー,東京都,美術館,4.3,2420,美術館,Tokyo Station,0.0,0.8600,0.6533,0.9935,0.8077,http://commons.wikimedia.org/wiki/Special:FilePath/Tokyo%20station%20gallery.jpg,35.6809580,139.7673060,Q115265693,東京ステーションギャラリー
Q1140619,札幌市鐘樓,北海道,多功能大厅,3.9,17170,多功能大厅,Sapporo Station,0.7,0.7800,0.8175,0.8745,0.8073,http://commons.wikimedia.org/wiki/Special:FilePath/20200119%20Sapporo%20Clock%20Tower.jpg,43.0626020,141.3536810,Q1140619,札幌市時計台
Q21083961,澀谷路口,東京都,觀光景點,4.5,20526,觀光景點,Tokyo Station,6.5,0.9000,0.8325,0.4356,0.8067,http://commons.wikimedia.org/wiki/Special:FilePath/Shibuya%20scramble%20crossing%20during%20Halloween%202023%2C%20actually%20less%20crowded%20than%20usual%2C%20high%20police%20presence%202.jpg,35.6595028,139.7005444,Q21083961,区渋谷交差点
Q1359908,東京國立近代美術館,東京都,國立博物館,4.3,7413,國立博物館,Tokyo Station,1.5,0.8600,0.7471,0.7654,0.8063,http://commons.wikimedia.org/wiki/Special:FilePath/National%20Museum%20of%20Modern%20Art%20Tokyo.jpg,35.6905530,139.7546420,Q1359908,東京国立近代美術館
Q11589733,神戶麵包超人兒童博物館暨購物中心,兵庫縣,兒童博物館,4.1,7857,兒童博物館,Kobe Station,0.6,0.8200,0.7520,0.8867,0.8062,http://commons.wikimedia.org/wiki/Special:FilePath/130720%20Kobe%20Anpanman%20Children%27s%20Museum%20%26%20Mall%20Kobe%20Japan01s3.jpg,34.6786000,135.1850000,Q11589733,神戸アンパンマンこどもミュージアム＆モール
Q257473,慈照寺,京都府,佛寺,4.5,17147,佛寺,Kyoto Station,5.8,0.9000,0.8174,0.4631,0.8055,http://commons.wikimedia.org/wiki/Special:FilePath/GinkakujiTemple.jpg,35.0266667,135.7983333,Q257473,銀閣寺
Q1204253,代代木公園,東京都,東京都立公園,4.4,26947,東京都立公園,Tokyo Station,6.4,0.8800,0.8553,0.4404,0.8054,http://commons.wikimedia.org/wiki/Special:FilePath/Cherry%20blossom%20at%20Yoyogi%20Park%20during%20covid-19%202.jpg,35.6719750,139.6976850,Q1204253,代々木公園
Q74710,眼鏡橋,長崎縣,眼鏡橋,4.1,10282,眼鏡橋,Nagasaki Station,1.0,0.8200,0.7745,0.8288,0.8054,http://commons.wikimedia.org/wiki/Special:FilePath/Meganebashi%2C%20Nagasaki%20cropped%201.jpg,32.7472070,129.8800870,Q74710,眼鏡橋
Q63465,哥拉巴園,長崎縣,戶外博物館,4.2,12445,戶外博物館,Nagasaki Station,2.0,0.8400,0.7905,0.7173,0.8043,http://commons.wikimedia.org/wiki/Special:FilePath/Nagasaki-Glover-Garden-5415.jpg,32.7344444,129.8688889,Q63465,グラバー園
Q5356064,大宮公園,埼玉縣,城市公園,4.2,9416,城市公園,Omiya Station,1.5,0.8400,0.7671,0.7654,0.8033,http://commons.wikimedia.org/wiki/Special:FilePath/Omiya%20park%20002.JPG,35.9190000,139.6310000,Q5356064,大宮公園
Q11296794,Kids Plaza大阪,大阪府,兒童博物館,4.4,4210,兒童博物館,Osaka Station,1.3,0.8800,0.6997,0.7892,0.8033,http://commons.wikimedia.org/wiki/Special:FilePath/Headquarter%20of%20Kansai%20Telecasting%20Corporation.jpg,34.7046970,135.5102670,Q11296794,キッズプラザ大阪
Q126681294,岡山城天守,岡山縣,天守,4.2,9808,天守,Okayama Station,1.6,0.8400,0.7706,0.7570,0.8032,http://commons.wikimedia.org/wiki/Special:FilePath/Okayama%20castle01s3200.jpg,34.6651836,133.9360646,Q126681294,岡山城
Q147312,奈良国立博物馆,奈良縣,國立博物館,4.4,5055,國立博物館,Nara Station,1.6,0.8800,0.7150,0.7521,0.8031,http://commons.wikimedia.org/wiki/Special:FilePath/140927%20Nara%20National%20Museum%20Nara%20Japan03bs5.jpg,34.6837000,135.8364000,Q147312,奈良国立博物館
Q11262875,橫濱宇宙樂園,神奈川縣,主題樂園,4.2,10358,主題樂園,Yokohama Station,1.8,0.8400,0.7751,0.7396,0.8022,http://commons.wikimedia.org/wiki/Special:FilePath/Yokohama-Japon112.JPG,35.4552030,139.6366810,Q11262875,よこはまコスモワールド
Q2496472,橫濱麵包超人兒童博物館暨購物中心,神奈川縣,商場,4.0,9607,商場,Yokohama Station,0.6,0.8000,0.7688,0.8853,0.8019,http://commons.wikimedia.org/wiki/Special:FilePath/Yokohama%20Anpanman%20Children%27s%20Museum%202019%20-%2003.jpg,35.4630556,139.6287222,Q2496472,横浜アンパンマンこどもミュージアム
Q843426,宇宙時鐘21,神奈川縣,摩天輪,4.5,3539,摩天輪,Yokohama Station,1.8,0.9000,0.6851,0.7390,0.8006,http://commons.wikimedia.org/wiki/Special:FilePath/CosmoClock21%202006-05-21.JPG,35.4554000,139.6370000,Q843426,コスモクロック21
Q1445750,沖繩美麗海水族館,沖繩縣,水族館,4.6,70695,水族館,Naha Bus Terminal,57.1,0.9200,0.9361,0.0805,0.7997,http://commons.wikimedia.org/wiki/Special:FilePath/%E6%B2%96%E7%B8%84%E7%BE%8E%E3%82%89%E6%B5%B7%E6%B0%B4%E6%97%8F%E9%A4%A8%EF%BC%BF%E5%A4%A7.jpg,26.6943889,127.8779444,Q1445750,沖縄美ら海水族館
Q4829638,阿波舞會館,德島縣,舞蹈博物館,4.2,4583,舞蹈博物館,Tokushima Station,0.7,0.8400,0.7068,0.8766,0.7989,http://commons.wikimedia.org/wiki/Special:FilePath/Awa-dance%20memorial%20hall01s3200.jpg,34.0702778,134.5450000,Q4829638,阿波おどり会館
Q7051341,則武之森,愛知縣,庭園,4.1,7855,庭園,Nagoya Station,1.0,0.8200,0.7519,0.8337,0.7982,http://commons.wikimedia.org/wiki/Special:FilePath/Noritake%20Garden02%2C%20Nishi%20Ward%20Nagoya%202014.jpg,35.1798680,136.8815860,Q7051341,ノリタケの森
Q17995372,仙台麵包超人兒童博物館暨購物中心,宮城縣,主題公園,4.2,4156,主題公園,Sendai Station,0.6,0.8400,0.6986,0.8878,0.7977,http://commons.wikimedia.org/wiki/Special:FilePath/Sendai%20Anpanman%20Children%27s%20Museum%20%26%20Mall.JPG,38.2642780,140.8874440,Q17995372,仙台アンパンマンこどもミュージアム＆モール
Q21653817,富山市玻璃美術館,富山縣,美術館,4.2,7367,美術館,Toyama Station,1.4,0.8400,0.7466,0.7758,0.7977,http://commons.wikimedia.org/wiki/Special:FilePath/TOYAMA%E3%82%AD%E3%83%A9%E3%83%AA.jpg,36.6885830,137.2147500,Q21653817,富山市ガラス美術館
Q123562726,阿陽史料館,德島縣,歷史博物館,4.2,4583,歷史博物館,Tokushima Station,0.8,0.8400,0.7068,0.8647,0.7971,,34.0719300,134.5429620,Q123562726,阿波おどり会館
Q85876894,八重洲橋,東京都,橋,3.8,10390,橋,Tokyo Station,0.2,0.7600,0.7754,0.9673,0.7965,http://commons.wikimedia.org/wiki/Special:FilePath/Tokyo%20Railway%20Station%20in%20the%201920s.jpg,35.6805062,139.7687683,Q85876894,ヤエチカ（八重洲地下街）
Q864957,東京都美術館,東京都,美術館,4.3,15664,美術館,Tokyo Station,4.0,0.8600,0.8098,0.5532,0.7964,http://commons.wikimedia.org/wiki/Special:FilePath/Tokyo%20metropolitan%20art%20museum01%201920.jpg,35.7172000,139.7730000,Q864957,東京都美術館
Q11439926,大阪生活今昔館,大阪府,博物館,4.2,8111,博物館,Osaka Station,1.7,0.8400,0.7546,0.7480,0.7963,http://commons.wikimedia.org/wiki/Special:FilePath/Osaka%20Museum%20of%20Housing%20and%20Living%20in%202013.jpg,34.7103060,135.5116940,Q11439926,大阪市立住まいのミュージアム「大阪くらしの今昔館」
Q93490,和平公園,長崎縣,紀念公園,4.3,9370,紀念公園,Nagasaki Station,2.7,0.8600,0.7667,0.6489,0.7957,http://commons.wikimedia.org/wiki/Special:FilePath/Fountain%20at%20Nagasaki%20Peace%20Park.jpg,32.7755800,129.8631200,Q93490,平和公園
Q861318,野毛山動物園,神奈川縣,動物園,4.3,7299,動物園,Yokohama Station,2.2,0.8600,0.7458,0.6960,0.7954,http://commons.wikimedia.org/wiki/Special:FilePath/Nogeyama%20Zoo.JPG,35.4465560,139.6228730,Q861318,野毛山動物園
Q117148543,ワーナー ブラザース スタジオツアー東京 - メイキング・オブ ハリー・ポッター,東京都,テーマパーク,4.7,15634,テーマパーク,Tokyo Station,13.1,0.9400,0.8096,0.2761,0.7948,http://commons.wikimedia.org/wiki/Special:FilePath/Warner%20Bros.%20Studio%20Tour%20Tokyo%20entrance%20%282%29%202023-08-17.jpg,35.7450000,139.6450000,Q117148543,ワーナー ブラザース スタジオツアー東京 - メイキング・オブ・ハリー・ポッター
Q564554,東京巨蛋城,東京都,家庭娛樂中心,4.3,10403,家庭娛樂中心,Tokyo Station,3.0,0.8600,0.7755,0.6222,0.7947,http://commons.wikimedia.org/wiki/Special:FilePath/TokyoDome8945.jpg,35.7056000,139.7520000,Q564554,東京ドームシティ
